Date/time,Num Foto,Temperature,Humidity,Pressure,Pitch,Roll,Yaw,Compass N:,Latitude,Longitude,Reverse-geocoder
2023-05-04 07:03:08.688348,1,54.4583,32.2654,999.5818,295.373,209.745,294.679,294.67891896688195,45.29294937193674,-88.9945323303055,IERS2010 latitude +45.2929 N longitude -88.9945 E elevation 422667.8 m
2023-05-04 07:03:24.330549,2,54.2836,32.2833,999.6406,295.373,209.745,294.684,294.69254519427614,45.77083169464396,-87.77836294220673,IERS2010 latitude +45.7708 N longitude -87.7784 E elevation 422806.1 m
2023-05-04 07:03:39.882108,3,54.1917,32.3729,999.6243,295.373,209.745,294.703,294.71590444123757,46.22701165204476,-86.55980728059615,IERS2010 latitude +46.2270 N longitude -86.5598 E elevation 422938.3 m
2023-05-04 07:03:55.584332,4,54.5809,32.3012,999.637,295.373,209.745,294.738,294.76637953920397,46.67330635034973,-85.30644051167295,IERS2010 latitude +46.6733 N longitude -85.3064 E elevation 423067.8 m
2023-05-04 07:04:11.151500,5,54.3265,32.3729,999.6355,295.373,209.745,294.798,294.8323796571538,47.10037559353577,-84.04302899288798,IERS2010 latitude +47.1004 N longitude -84.0430 E elevation 423191.8 m
2023-05-04 07:04:26.834872,6,53.5633,32.2833,999.6211,295.373,209.745,294.862,294.8959345673808,47.51500819906353,-82.7482868717254,IERS2010 latitude +47.5150 N longitude -82.7483 E elevation 423312.4 m
2023-05-04 07:04:42.563067,7,54.5687,32.2654,999.6423,295.373,209.745,294.938,294.98687853617946,47.91416464198785,-81.42929456315072,IERS2010 latitude +47.9142 N longitude -81.4293 E elevation 423428.6 m
2023-05-04 07:04:58.257064,8,54.6238,32.2475,999.6294,295.373,209.745,295.035,295.08205039207445,48.29574285657426,-80.09159602007745,IERS2010 latitude +48.2957 N longitude -80.0916 E elevation 423539.8 m
2023-05-04 07:05:13.957118,9,53.8361,32.2654,999.626,295.373,209.745,295.14,295.196210173862,48.65990052619328,-78.73352738017721,IERS2010 latitude +48.6599 N longitude -78.7335 E elevation 423646.1 m
2023-05-04 07:05:29.647416,10,54.5012,32.355,999.6465,295.373,209.745,295.262,295.3359831650372,49.00617771603626,-77.35550729918454,IERS2010 latitude +49.0062 N longitude -77.3555 E elevation 423747.2 m
